wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
a8-a6 a9-be aa-a1 ab-73 ac-23 ad-66 ae-44 af-1f 
b0-79 b1-5b b2-c5 b3-e5 b4-4a b5-bc b6-ba b7-d2 
b8-5e b9-8a ba-b6 bb-8b bc-b5 bd-1c be-a9 bf-1e 
c0-15 c1-49 c2-4d c3-36 c4-c6 c5-b2 c6-c4 c7-48 
c8-2b c9-02 ca-3c cb-63 cc-57 cd-80 ce-4c cf-d4 
d0-89 d1-82 d2-b7 d3-72 d4-cf d5-e1 d6-9f d7-04 
d8-38 d9-7b da-a2 db-53 dc-7a dd-94 de-01 df-1a 
e0-25 e1-d5 e2-3a e3-6b e4-03 e5-b3 e6-0a e7-5d 
e8-16 e9-30 ea-f4 eb-33 ec-56 ed-f2 ee-ef ef-ee 
f0-05 f1-10 f2-ed f3-6d f4-ea f5-a5 f6-31 f7-86 
f8-37 f9-fd fa-08 fb-0d fc-65 fd-f9 fe-55 ff-5a 
end wires

wires 63
00-59 01-45 02-6a 03-a8 04-09 05-21 06-72 07-b0 
08-7c 09-04 0a-1e 0b-35 0c-fa 0d-1c 0e-10 0f-12 
10-0e 11-c5 12-0f 13-5f 14-92 15-24 16-e1 17-c3 
18-42 19-d4 1a-e9 1b-43 1c-0d 1d-7a 1e-0a 1f-94 
20-e2 21-05 22-34 23-d6 24-15 25-77 26-71 27-51 
28-b2 29-6e 2a-cf 2b-4a 2c-64 2d-83 2e-3f 2f-6d 
30-a7 31-37 32-4b 33-86 34-22 35-0b 36-7e 37-31 
38-62 39-af 3a-dc 3b-75 3c-f8 3d-f2 3e-d3 3f-2e 
40-9a 41-a4 42-18 43-1b 44-e6 45-01 46-cd 47-55 
48-96 49-53 4a-2b 4b-32 4c-b5 4d-97 4e-da 4f-67 
50-b1 51-27 52-bc 53-49 54-f1 55-47 56-90 57-fd 
58-9c 59-00 5a-eb 5b-a1 5c-c8 5d-c0 5e-7f 5f-13 
60-bf 61-ed 62-38 63-cb 64-2c 65-de 66-74 67-4f 
68-c4 69-fc 6a-02 6b-79 6c-f9 6d-2f 6e-29 6f-ab 
70-ac 71-26 72-06 73-87 74-66 75-3b 76-b3 77-25 
78-e7 79-6b 7a-1d 7b-d0 7c-08 7d-bb 7e-36 7f-5e 
80-ce 81-d9 82-aa 83-2d 84-bd 85-d2 86-33 87-73 
88-f3 89-dd 8a-b6 8b-c9 8c-ec 8d-ef 8e-f6 8f-b4 
90-56 91-9b 92-14 93-a5 94-1f 95-9e 96-48 97-4d 
98-ea 99-e3 9a-40 9b-91 9c-58 9d-c7 9e-95 9f-df 
a0-fb a1-5b a2-ae a3-ba a4-41 a5-93 a6-d8 a7-30 
a8-03 a9-ee aa-82 ab-6f ac-70 ad-d5 ae-a2 af-39 
b0-07 b1-50 b2-28 b3-76 b4-8f b5-4c b6-8a b7-ff 
b8-f0 b9-ca ba-a3 bb-7d bc-52 bd-84 be-e4 bf-60 
c0-5d c1-f4 c2-db c3-17 c4-68 c5-11 c6-d1 c7-9d 
c8-5c c9-8b ca-b9 cb-63 cc-e5 cd-46 ce-80 cf-2a 
d0-7b d1-c6 d2-85 d3-3e d4-19 d5-ad d6-23 d7-e8 
d8-a6 d9-81 da-4e db-c2 dc-3a dd-89 de-65 df-9f 
e0-f5 e1-16 e2-20 e3-99 e4-be e5-cc e6-44 e7-78 
e8-d7 e9-1a ea-98 eb-5a ec-8c ed-61 ee-a9 ef-8d 
f0-b8 f1-54 f2-3d f3-88 f4-c1 f5-e0 f6-8e f7-fe 
f8-3c f9-6c fa-0c fb-a0 fc-69 fd-57 fe-f7 ff-b7 
end wires

wires 64
00-05 01-37 02-39 03-e9 04-2c 05-00 06-c5 07-2b 
08-be 09-15 0a-bf 0b-92 0c-4c 0d-0e 0e-0d 0f-ee 
10-67 11-9e 12-dd 13-59 14-7e 15-09 16-f3 17-c4 
18-62 19-9f 1a-1e 1b-e8 1c-5e 1d-73 1e-1a 1f-81 
20-6b 21-96 22-ab 23-47 24-8f 25-b5 26-82 27-d9 
28-51 29-40 2a-f9 2b-07 2c-04 2d-38 2e-a0 2f-6c 
30-ca 31-74 32-b3 33-54 34-5f 35-ea 36-b4 37-01 
38-2d 39-02 3a-89 3b-4e 3c-ba 3d-d0 3e-fb 3f-76 
40-29 41-cd 42-66 43-44 44-43 45-68 46-c9 47-23 
48-f1 49-55 4a-6d 4b-c1 4c-0c 4d-b8 4e-3b 4f-50 
50-4f 51-28 52-a1 53-72 54-33 55-49 56-7c 57-9d 
58-9c 59-13 5a-70 5b-97 5c-cc 5d-79 5e-1c 5f-34 
60-bd 61-d8 62-18 63-bc 64-db 65-ed 66-42 67-10 
68-45 69-f2 6a-75 6b-20 6c-2f 6d-4a 6e-dc 6f-a5 
70-5a 71-f8 72-53 73-1d 74-31 75-6a 76-3f 77-83 
78-b6 79-5d 7a-a9 7b-aa 7c-56 7d-f5 7e-14 7f-af 
80-cf 81-1f 82-26 83-77 84-88 85-d2 86-d4 87-90 
88-84 89-3a 8a-b9 8b-d5 8c-e0 8d-a3 8e-a7 8f-24 
90-87 91-c2 92-0b 93-b0 94-f6 95-c7 96-21 97-5b 
98-f4 99-f7 9a-b7 9b-a6 9c-58 9d-57 9e-11 9f-19 
a0-2e a1-52 a2-d1 a3-8d a4-d3 a5-6f a6-9b a7-8e 
a8-ce a9-7a aa-7b ab-22 ac-d6 ad-e3 ae-fd af-7f 
b0-93 b1-e4 b2-da b3-32 b4-36 b5-25 b6-78 b7-9a 
b8-4d b9-8a ba-3c bb-c8 bc-63 bd-60 be-08 bf-0a 
c0-c3 c1-4b c2-91 c3-c0 c4-17 c5-06 c6-d7 c7-95 
c8-bb c9-46 ca-30 cb-ef cc-5c cd-41 ce-a8 cf-80 
d0-3d d1-a2 d2-85 d3-a4 d4-86 d5-8b d6-ac d7-c6 
d8-61 d9-27 da-b2 db-64 dc-6e dd-12 de-ff df-fc 
e0-8c e1-e2 e2-e1 e3-ad e4-b1 e5-eb e6-ec e7-f0 
e8-1b e9-03 ea-35 eb-e5 ec-e6 ed-65 ee-0f ef-cb 
f0-e7 f1-48 f2-69 f3-16 f4-98 f5-7d f6-94 f7-99 
f8-71 f9-2a fa-fe fb-3e fc-df fd-ae fe-fa ff-de 
end wires

wires 65
00-e8 01-f5 02-31 03-8a 04-86 05-ef 06-df 07-da 
08-4c 09-48 0a-a0 0b-78 0c-63 0d-ae 0e-7e 0f-17 
10-5a 11-4a 12-1d 13-22 14-fe 15-cf 16-c0 17-0f 
18-d0 19-37 1a-76 1b-fb 1c-95 1d-12 1e-71 1f-2d 
20-41 21-29 22-13 23-97 24-b2 25-2c 26-f2 27-d6 
28-c7 29-21 2a-ce 2b-ed 2c-25 2d-1f 2e-79 2f-ff 
30-f4 31-02 32-8e 33-6d 34-82 35-d3 36-fa 37-19 
38-bd 39-e5 3a-68 3b-a8 3c-a5 3d-ac 3e-8f 3f-66 
40-a1 41-20 42-bc 43-56 44-db 45-d8 46-6f 47-c9 
48-09 49-92 4a-11 4b-b3 4c-08 4d-7a 4e-9c 4f-99 
50-a9 51-6e 52-7c 53-8c 54-b8 55-e1 56-43 57-6a 
58-cc 59-8d 5a-10 5b-94 5c-f3 5d-73 5e-cb 5f-c1 
60-93 61-e3 62-75 63-0c 64-c2 65-f1 66-3f 67-83 
68-3a 69-ab 6a-57 6b-b5 6c-7b 6d-33 6e-51 6f-46 
70-98 71-1e 72-dc 73-5d 74-a3 75-62 76-1a 77-ee 
78-0b 79-2e 7a-4d 7b-6c 7c-52 7d-e9 7e-0e 7f-89 
80-b9 81-9f 82-34 83-67 84-de 85-b7 86-04 87-90 
88-d2 89-7f 8a-03 8b-c8 8c-53 8d-59 8e-32 8f-3e 
90-87 91-ba 92-49 93-60 94-5b 95-1c 96-bb 97-23 
98-70 99-4f 9a-b6 9b-fc 9c-4e 9d-c3 9e-f0 9f-81 
a0-0a a1-40 a2-dd a3-74 a4-d1 a5-3c a6-e4 a7-d4 
a8-3b a9-50 aa-cd ab-69 ac-3d ad-d7 ae-0d af-f6 
b0-c6 b1-f9 b2-24 b3-4b b4-e7 b5-6b b6-9a b7-85 
b8-54 b9-80 ba-91 bb-96 bc-42 bd-38 be-c5 bf-d9 
c0-16 c1-5f c2-64 c3-9d c4-eb c5-be c6-b0 c7-28 
c8-8b c9-47 ca-f7 cb-5e cc-58 cd-aa ce-2a cf-15 
d0-18 d1-a4 d2-88 d3-35 d4-a7 d5-ea d6-27 d7-ad 
d8-45 d9-bf da-07 db-44 dc-72 dd-a2 de-84 df-06 
e0-fd e1-55 e2-ec e3-61 e4-a6 e5-39 e6-f8 e7-b4 
e8-00 e9-7d ea-d5 eb-c4 ec-e2 ed-2b ee-77 ef-05 
f0-9e f1-65 f2-26 f3-5c f4-30 f5-01 f6-af f7-ca 
f8-e6 f9-b1 fa-36 fb-1b fc-9b fd-e0 fe-14 ff-2f 
end wires

wires 66
00-cc 01-06 02-87 03-a0 04-c5 05-17 06-01 07-43 
08-47 09-48 0a-8d 0b-e7 0c-f1 0d-89 0e-14 0f-95 
10-f4 11-cf 12-7e 13-36 14-0e 15-d8 16-c1 17-05 
18-4b 19-b6 1a-d9 1b-f6 1c-26 1d-50 1e-97 1f-ac 
20-84 21-9a 22-fe 23-f0 24-d1 25-3d 26-1c 27-cd 
28-b7 29-4a 2a-3c 2b-96 2c-2d 2d-2c 2e-5f 2f-41 
30-67 31-9e 32-e1 33-6e 34-e6 35-ea 36-13 37-a9 
38-69 39-bf 3a-94 3b-63 3c-2a 3d-25 3e-db 3f-a7 
40-7b 41-2f 42-60 43-07 44-d5 45-af 46-c3 47-08 
48-09 49-e9 4a-29 4b-18 4c-e4 4d-6f 4e-58 4f-8f 
50-1d 51-54 52-6a 53-fd 54-51 55-df 56-c9 57-78 
58-4e 59-bd 5a-7a 5b-9b 5c-e0 5d-d3 5e-7c 5f-2e 
60-42 61-b8 62-d2 63-3b 64-7d 65-88 66-c8 67-30 
68-b3 69-38 6a-52 6b-8c 6c-9d 6d-ef 6e-33 6f-4d 
70-a5 71-ed 72-76 73-e5 74-99 75-d7 76-72 77-81 
78-57 79-ff 7a-5a 7b-40 7c-5e 7d-64 7e-12 7f-86 
80-de 81-77 82-aa 83-ce 84-20 85-e3 86-7f 87-02 
88-65 89-0d 8a-b2 8b-9c 8c-6b 8d-0a 8e-a2 8f-4f 
90-a6 91-a3 92-98 93-d6 94-3a 95-0f 96-2b 97-1e 
98-92 99-74 9a-21 9b-5b 9c-8b 9d-6c 9e-31 9f-d0 
a0-03 a1-c2 a2-8e a3-91 a4-b9 a5-70 a6-90 a7-3f 
a8-be a9-37 aa-82 ab-c6 ac-1f ad-c7 ae-fa af-45 
b0-f9 b1-f3 b2-8a b3-68 b4-ba b5-f8 b6-19 b7-28 
b8-61 b9-a4 ba-b4 bb-d4 bc-dc bd-59 be-a8 bf-39 
c0-e2 c1-16 c2-a1 c3-46 c4-fc c5-04 c6-ab c7-ad 
c8-66 c9-56 ca-f2 cb-ee cc-00 cd-27 ce-83 cf-11 
d0-9f d1-24 d2-62 d3-5d d4-bb d5-44 d6-93 d7-75 
d8-15 d9-1a da-ec db-3e dc-bc dd-e8 de-80 df-55 
e0-5c e1-32 e2-c0 e3-85 e4-4c e5-73 e6-34 e7-0b 
e8-dd e9-49 ea-35 eb-f5 ec-da ed-71 ee-cb ef-6d 
f0-23 f1-0c f2-ca f3-b1 f4-10 f5-eb f6-1b f7-fb 
f8-b5 f9-b0 fa-ae fb-f7 fc-c4 fd-53 fe-22 ff-79 
end wires

wires 67
00-0e 01-60 02-7c 03-26 04-91 05-a9 06-88 07-3f 
08-42 09-0c 0a-7b 0b-a2 0c-09 0d-6f 0e-00 0f-c5 
10-df 11-e6 12-f1 13-fd 14-5c 15-45 16-61 17-39 
18-28 19-78 1a-c0 1b-d8 1c-1f 1d-49 1e-21 1f-1c 
20-7f 21-1e 22-d2 23-5e 24-f9 25-5b 26-03 27-f0 
28-18 29-96 2a-f3 2b-67 2c-75 2d-e5 2e-bd 2f-c7 
30-36 31-84 32-aa 33-5f 34-bb 35-b6 36-30 37-a4 
38-d9 39-17 3a-81 3b-cf 3c-c3 3d-c6 3e-94 3f-07 
40-b4 41-d4 42-08 43-65 44-cc 45-15 46-9e 47-ef 
48-d1 49-1d 4a-f2 4b-80 4c-9f 4d-f6 4e-fc 4f-b8 
50-b7 51-a6 52-56 53-c8 54-74 55-6c 56-52 57-a5 
58-87 59-e3 5a-73 5b-25 5c-14 5d-fe 5e-23 5f-33 
60-01 61-16 62-8c 63-f8 64-95 65-43 66-c9 67-2b 
68-83 69-ae 6a-b1 6b-86 6c-55 6d-7e 6e-b0 6f-0d 
70-ac 71-be 72-fb 73-5a 74-54 75-2c 76-d5 77-bc 
78-19 79-9a 7a-ec 7b-0a 7c-02 7d-98 7e-6d 7f-20 
80-4b 81-3a 82-c2 83-68 84-31 85-fa 86-6b 87-58 
88-06 89-bf 8a-8f 8b-99 8c-62 8d-b2 8e-de 8f-8a 
90-a1 91-04 92-b9 93-db 94-3e 95-64 96-29 97-d3 
98-7d 99-8b 9a-79 9b-dd 9c-ba 9d-dc 9e-46 9f-4c 
a0-cd a1-90 a2-0b a3-b5 a4-37 a5-57 a6-51 a7-c4 
a8-eb a9-05 aa-32 ab-ea ac-70 ad-e0 ae-69 af-f4 
b0-6e b1-6a b2-8d b3-da b4-40 b5-a3 b6-35 b7-50 
b8-4f b9-92 ba-9c bb-34 bc-77 bd-2e be-71 bf-89 
c0-1a c1-ff c2-82 c3-3c c4-a7 c5-0f c6-3d c7-2f 
c8-53 c9-66 ca-d7 cb-ed cc-44 cd-a0 ce-d0 cf-3b 
d0-ce d1-48 d2-22 d3-97 d4-41 d5-76 d6-f5 d7-ca 
d8-1b d9-38 da-b3 db-93 dc-9d dd-9b de-8e df-10 
e0-ad e1-e7 e2-ee e3-59 e4-e9 e5-2d e6-11 e7-e1 
e8-f7 e9-e4 ea-ab eb-a8 ec-7a ed-cb ee-e2 ef-47 
f0-27 f1-12 f2-4a f3-2a f4-af f5-d6 f6-4d f7-e8 
f8-63 f9-24 fa-85 fb-72 fc-4e fd-13 fe-5d ff-c1 
end wires

wires 68
00-bc 01-58 02-85 03-51 04-0b 05-ef 06-ec 07-68 
08-d1 09-87 0a-5f 0b-04 0c-2f 0d-dc 0e-4e 0f-c2 
10-cd 11-af 12-72 13-93 14-1a 15-c7 16-18 17-f7 
18-16 19-81 1a-14 1b-f0 1c-66 1d-37 1e-fe 1f-b4 
20-3c 21-e6 22-2a 23-6a 24-48 25-53 26-f8 27-95 
28-70 29-b3 2a-22 2b-73 2c-55 2d-9b 2e-eb 2f-0c 
30-fd 31-6c 32-65 33-f6 34-ca 35-f9 36-59 37-1d 
38-a4 39-b8 3a-8b 3b-bd 3c-20 3d-57 3e-9e 3f-8e 
40-ce 41-a9 42-4d 43-96 44-89 45-c0 46-4f 47-cb 
48-24 49-86 4a-c4 4b-7b 4c-7e 4d-42 4e-0e 4f-46 
50-ac 51-03 52-d2 53-25 54-e4 55-2c 56-ed 57-3d 
58-01 59-36 5a-d4 5b-c8 5c-b7 5d-6d 5e-82 5f-0a 
60-b0 61-78 62-d9 63-f2 64-7f 65-32 66-1c 67-bf 
68-07 69-9c 6a-23 6b-c5 6c-31 6d-5d 6e-fc 6f-9f 
70-28 71-a5 72-12 73-2b 74-94 75-d8 76-a0 77-7d 
78-61 79-a7 7a-b1 7b-4b 7c-b9 7d-77 7e-4c 7f-64 
80-b6 81-19 82-5e 83-88 84-8f 85-02 86-49 87-09 
88-83 89-44 8a-ab 8b-3a 8c-d0 8d-b2 8e-3f 8f-84 
90-c6 91-e8 92-e2 93-13 94-74 95-27 96-43 97-ff 
98-f4 99-cf 9a-e3 9b-2d 9c-69 9d-c9 9e-3e 9f-6f 
a0-76 a1-be a2-c1 a3-d7 a4-38 a5-71 a6-ea a7-79 
a8-d5 a9-41 aa-c3 ab-8a ac-50 ad-d6 ae-ee af-11 
b0-60 b1-7a b2-8d b3-29 b4-1f b5-f3 b6-80 b7-5c 
b8-39 b9-7c ba-e0 bb-da bc-00 bd-3b be-a1 bf-67 
c0-45 c1-a2 c2-0f c3-aa c4-4a c5-6b c6-90 c7-15 
c8-5b c9-9d ca-34 cb-47 cc-e9 cd-10 ce-40 cf-99 
d0-8c d1-08 d2-52 d3-fb d4-5a d5-a8 d6-ad d7-a3 
d8-75 d9-62 da-bb db-de dc-0d dd-f1 de-db df-e1 
e0-ba e1-df e2-92 e3-9a e4-54 e5-e7 e6-21 e7-e5 
e8-91 e9-cc ea-a6 eb-2e ec-06 ed-56 ee-ae ef-05 
f0-1b f1-dd f2-63 f3-b5 f4-98 f5-fa f6-33 f7-17 
f8-26 f9-35 fa-f5 fb-d3 fc-6e fd-30 fe-1e ff-97 
end wires

